Year,CO2_ppm,CH4_ppb,N2O_ppb,CF4_ppt,C2F6_ppt,C6F14_ppt,HFC23_ppt,HFC32_ppt,HFC43_10_ppt,HFC125_ppt,HFC134a_ppt,HFC143a_ppt,HFC227ea_ppt,HFC245fa_ppt,SF6_ppt,CFC_11_ppt,CFC_12_ppt,CFC_113_ppt,CFC_114_ppt,CFC_115_ppt,CARB_TET_ppt,MCF_ppt,HCFC_22_ppt,HCFC_141_ppt,HCFC_142_ppt,HALON1211_ppt,HALON1202_ppt,HALON1301_ppt,HALON2402_ppt,CH3BR_ppt,CH3CL_ppt
1818.0,279.6681367328733,758.3951627829824,274.1863153499375,34.49659524471224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1819.0,279.71940802718836,759.3484128941506,274.2189235447211,34.49657984841325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1820.0,279.77575627357123,760.2998278197871,274.2522620743791,34.49656414202911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1821.0,279.83589569378086,761.2496224379088,274.2863453274587,34.496548123739046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1822.0,279.8990905756178,762.1985262563703,274.3211875821392,34.49653179165822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1823.0,279.96445873102823,763.1470298103798,274.3568432845474,34.49651514377362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1824.0,280.03101976314423,764.0954466583386,274.3933060266547,34.49649817804022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1825.0,280.09906989954095,765.0440749225642,274.43058959993243,34.49648089241305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1826.0,280.1678433743325,765.9932013249431,274.4687076903979,34.49646328471894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1827.0,280.23777511845174,766.943105514583,274.5077141599105,34.496445352720706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1828.0,280.3082686143241,767.8940982461572,274.5476221586799,34.49642709411707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
